circuit,protocol,iters,train_size,test_size,pval,data_time,d_tree_time,bias_sharing,bias_and,accidental_secret,accidental_gate
adder_1.txt,beaver,64,256,128,0.6607412369732283,0.25,1.28,2,0,0,0
adder_1.txt,beaver,64,512,256,0.28379916036693986,0.32,1.27,2,0,0,0
adder_1.txt,beaver,64,512,256,0.9504736123515174,0.32,1.29,2,0,0,0
adder_1.txt,beaver,64,512,256,0.46367207280112777,0.31,1.28,2,0,0,0
adder_1.txt,beaver,128,128,64,0.30568536566760784,0.25,1.27,2,0,0,0
adder_1.txt,beaver,128,128,64,0.20576238172199635,0.24,1.27,2,0,0,0
adder_1.txt,beaver,128,128,64,0.7664100992666527,0.25,1.26,2,0,0,0
adder_1.txt,beaver,128,256,128,0.5422791423558025,0.33,1.28,2,0,0,0
adder_1.txt,beaver,128,256,128,0.797446863222206,0.34,1.29,2,0,0,0
adder_1.txt,beaver,128,256,128,0.3685088762203683,0.33,1.27,2,0,0,0
adder_1.txt,beaver,128,512,256,0.08175941303189244,0.49,1.3,2,0,0,0
adder_1.txt,beaver,128,512,256,0.16949321951511354,0.48,1.31,2,0,0,0
adder_1.txt,beaver,128,512,256,0.01647997560889591,0.47,1.3,2,0,0,0
adder_1.txt,beaver,64,128,64,0.13479157699244676,0.21,1.25,3,0,0,0
adder_1.txt,beaver,64,128,64,0.9227987343485882,0.22,1.25,3,0,0,0
adder_1.txt,beaver,64,128,64,0.6351513976006578,0.21,1.25,3,0,0,0
adder_1.txt,beaver,64,256,128,0.35293000236933414,0.25,1.26,3,0,0,0
adder_1.txt,beaver,64,256,128,0.9574715149858706,0.25,1.28,3,0,0,0
adder_1.txt,beaver,64,256,128,0.5672915699586746,0.25,1.26,3,0,0,0
adder_1.txt,beaver,64,512,256,0.16195998971830922,0.33,1.27,3,0,0,0
adder_1.txt,beaver,64,512,256,0.8331383402810716,0.32,1.27,3,0,0,0
adder_1.txt,beaver,64,512,256,0.5974031063140206,0.33,1.28,3,0,0,0
adder_1.txt,beaver,128,128,64,0.2517529219223459,0.25,1.28,3,0,0,0
adder_1.txt,beaver,128,128,64,0.3721820109883232,0.25,1.27,3,0,0,0
adder_1.txt,beaver,128,128,64,0.717583889255231,0.26,1.27,3,0,0,0
adder_1.txt,beaver,128,256,128,0.2579945620880377,0.33,1.27,3,0,0,0
adder_1.txt,beaver,128,256,128,0.36715084406938575,0.32,1.27,3,0,0,0
adder_1.txt,beaver,128,256,128,0.14281141719555013,0.33,1.29,3,0,0,0
adder_1.txt,beaver,128,512,256,0.11394519345870407,0.49,1.32,3,0,0,0
adder_1.txt,beaver,128,512,256,0.33668573542123015,0.48,1.3,3,0,0,0
adder_1.txt,beaver,128,512,256,0.16303930577870962,0.48,1.31,3,0,0,0
adder_1.txt,beaver,64,128,64,0.4286368746964402,0.2,1.25,0,1,0,0
